game_date,full_name,rating_after,prev_best,opponent,result,game_type,game_id,player_id,team_id
1976-10-21,Jim Ard,1184.05,,Pacers,W 122-129,Regular,27600004,76055,1610612738
1976-10-21,Tom Boswell,1403.9,1184.05,Pacers,W 122-129,Regular,27600004,76213,1610612738
1976-10-21,Dave Cowens,1511.85,1403.9,Pacers,W 122-129,Regular,27600004,76462,1610612738
1976-10-21,John Havlicek,1688.34,1511.85,Pacers,W 122-129,Regular,27600004,76970,1610612738
1976-10-21,Mike Newlin,1697.16,1688.34,Hawks,W 104-120,Regular,27600006,77710,1610612745
1976-10-22,Doug Collins,1736.68,1697.16,Spurs,L 118-121,Regular,27600008,76421,1610612755
1976-10-22,Kevin Porter,1750.86,1736.68,Kings,W 96-99,Regular,27600012,77876,1610612765
1976-10-28,Dan Issel,1771.55,1750.86,Bucks,W 119-100,Regular,27600036,77097,1610612743
1976-10-29,Kareem Abdul-Jabbar,1772.09,1771.55,Hawks,W 118-101,Regular,27600041,76003,1610612747
1976-11-02,Pete Maravich,1825.85,1772.09,Celtics,W 115-97,Regular,27600063,77459,1610612762
1976-11-07,Bob Lanier,1884.0,1845.13,Jazz,W 107-115,Regular,27600087,600005,1610612765
1976-11-09,Kareem Abdul-Jabbar,1898.47,1884.0,Braves,L 116-121,Regular,27600093,76003,1610612747
1976-11-10,Bob Lanier,1931.4,1902.69,Cavaliers,W 123-112,Regular,27600101,600005,1610612765
1976-11-19,Kareem Abdul-Jabbar,1949.01,1935.21,Warriors,W 121-99,Regular,27600148,76003,1610612747
1982-02-17,Moses Malone,2066.64,2060.16,Cavaliers,W 102-110,Regular,28100585,77449,1610612745
1985-01-26,Michael Jordan,2144.38,2125.99,Hawks,W 117-104,Regular,28400496,893,1610612741
2000-05-20,Shaquille O'Neal,2274.66,2273.88,Trail Blazers,W 109-94,Playoffs,49900069,406,1610612747
2009-04-24,LeBron James,2274.73,2274.66,Pistons,W 68-79,Playoffs,40800103,2544,1610612739
